node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,selection,true_x,true_y,true_angle,true_selection
319,-3.72369831510154,2.49953167061333,1.36797016149744,120.476138031455,-26.3849573897923,0,1,0,5,-4.01610900663286,1.9835339878783,2.07274460219067,120.744972210953,-26.241872168357,1,-0.748015475470089,-0.663681285299846,3.8673221386263,1
320,-12.3044093495814,3.82290678117872,0.431230256293232,117.682323990978,-27.6684355150805,0,0,0,2,-11.6163068605697,3.73630411184408,2.15080452606297,117.688124887556,-27.6004737961019,2,-0.355914647216699,0.934518466321888,1.93468894825099,2
321,-9.06630374701807,2.04036892473586,0.505271835291548,117.793720694885,-27.9389218161566,1,1,0,1,-7.07450018141957,2.64178782144423,1.20203683958345,117.926548259797,-27.9089881008495,1,0.829953843897724,0.557832068815869,0.591771389450757,1
322,8.1482422331587,2.09001268869995,1.84354075811737,126.257818268232,-28.1249347776401,0,1,1,5,7.92777480227715,2.45190006351476,1.92644218879015,126.525142330834,-28.0181056197353,1,-0.823773657481709,-0.566918831261766,3.74435336382175,1
323,0.28788777545687,2.59562542327162,3.6633079891772,132.197155783023,-21.065736362798,1,0,3,1,-1.93045603725263,2.86709307176604,4.39303260572671,129.937423251178,-23.7825952990214,1,0.69111612685753,0.722743729960659,0.80776412068738,1
324,-0.411170018413731,2.75442799378157,0.979617645251921,130.985972871817,-23.5681200636108,0,0,1,6,0.442463481640649,1.93037097387389,1.97563164689317,131.312624517906,-22.5469790633609,2,-0.00823406833762017,-0.999966099484683,4.70415481899942,2
325,-2.2819188376633,4.06718210663746,0.64918966424168,132.788333050927,-24.9295388916728,1,0,1,4,-0.260586306282895,2.19243532177632,0.925059047414474,133.152986842105,-25.0331237236842,0,-0.999983702292071,0.00570921625478749,3.13588340631909,0
326,0.452781905088311,1.34740342426983,1.33401909733249,137.376719542114,-17.2206076102355,0,0,3,0,-0.603436162409879,0.584857174453137,3.06199616591502,134.538346893695,-16.6773273738303,0,0.999993817399392,-0.00351641337028671,6.27966888656242,0
327,0.185666417362496,1.32620215108016,1.61534794905626,142.384232730929,-17.192554089144,1,1,3,1,-0.141016369654385,2.46475531950603,2.34526643004108,142.064998663189,-17.6295625692859,1,0.685963446299261,0.72763600126797,0.814869375635036,1
328,1.08780381085861,2.57263742848256,2.81251545225533,132.986028662619,-19.8559594386142,1,1,3,3,0.620150850755246,2.8959525648182,3.79257229975232,133.603368228404,-20.717101398243,3,-0.679013557133819,0.734125731212629,2.31721442757984,3
329,0.564947712244654,1.98127386893262,1.443263470105,136.789078802896,-21.9341936549241,0,0,3,0,-0.328999736151665,0.179195239969174,3.49225395214871,133.285524784217,-21.4517933156597,0,0.999999826589948,-0.000588914318735389,6.28259639282681,0
330,-0.302122949694691,1.89933995733885,0.990414849027855,141.792291833379,-22.3346232523708,1,1,0,3,-0.318196963794135,1.73164009970078,1.02627568423399,142.084284739677,-22.2747018821065,3,-0.697003805367374,0.717067427306108,2.34200689110359,3
331,1.21977305877505,2.40096940209042,0.940701854033628,130.023974036255,-17.1239835761357,1,0,1,3,1.93014185237728,2.44177950331534,2.69716349152403,130.891586404523,-17.9069888589052,3,-0.699165084189294,0.714960268162208,2.34502537627363,3
332,2.08688062298142,3.17204502196343,1.03446682150279,130.592041331993,-19.3160865825745,0,0,3,5,1.46741728643872,3.70234300871547,1.44086204572271,131.202674818986,-18.334181995173,1,-0.670202782409526,-0.742178031506275,3.97790700052539,1
333,1.51457169713674,2.02042680626057,1.73978806162369,129.886829854279,-19.8138182033433,0,1,3,6,1.72314962581678,2.91321302733291,2.15555946394405,129.8109752082,-19.2395339654068,2,-0.0462225453423951,-0.99893116694899,4.66614995993704,2
